Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.834630	3.909563	34.442000	17.980000	
0.100000	1.325576	1.329245	51.526000	52.580000	
0.100000	1.046492	2.389003	62.554000	34.190000	
0.100000	0.864313	1.009835	69.268000	64.280000	
0.100000	0.746122	1.014312	73.628000	64.540000	
0.100000	0.637328	0.982372	77.558000	66.370000	
0.100000	0.549810	0.693690	80.834000	76.200000	
0.100000	0.494936	0.755611	82.762000	75.400000	
0.100000	0.455753	0.769245	84.188000	74.170000	
0.100000	0.431244	0.981391	85.014000	69.890000	
0.100000	0.403806	0.707883	85.966000	76.620000	
0.100000	0.386472	0.760514	86.780000	75.580000	
0.100000	0.362950	0.669836	87.616000	77.130000	
0.100000	0.353049	0.786760	87.600000	75.280000	
0.100000	0.339203	0.561936	88.330000	81.190000	
0.100000	0.327571	0.619018	88.736000	79.220000	
0.100000	0.322208	0.498815	88.984000	83.610000	
0.100000	0.309590	0.615031	89.296000	79.890000	
0.100000	0.300293	0.602216	89.678000	80.080000	
0.100000	0.300056	0.663058	89.738000	78.300000	
0.100000	0.298728	0.614704	89.702000	79.780000	
0.100000	0.284416	0.566867	90.168000	81.650000	
0.100000	0.283099	0.541942	90.274000	82.280000	
0.100000	0.277666	0.632652	90.386000	79.600000	
0.100000	0.270159	0.517854	90.736000	82.920000	
0.100000	0.268875	0.696219	90.696000	77.350000	
0.100000	0.269076	0.456421	90.616000	84.540000	
0.100000	0.262254	0.580832	90.966000	80.800000	
0.100000	0.262861	0.583655	90.898000	81.040000	
0.100000	0.259615	0.546891	91.022000	82.470000	
0.100000	0.257171	0.520138	91.100000	83.170000	
0.100000	0.255621	0.480793	91.164000	84.270000	
0.100000	0.245071	0.509072	91.504000	83.660000	
0.100000	0.249143	0.570467	91.284000	81.540000	
0.100000	0.242868	0.649728	91.656000	78.920000	
0.100000	0.244091	0.536191	91.656000	82.370000	
0.100000	0.245605	0.526043	91.516000	82.840000	
0.100000	0.243076	0.547558	91.624000	82.700000	
