Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	2.051449	2.848621	1.995425	27.275760	17.450000	5.450000	
0.100000	1.548454	1.379362	2.031453	42.626847	50.970000	16.130000	
0.100000	1.118054	1.589439	0.003510	59.844423	47.100000	99.980000	
0.100000	0.871803	2.350826	0.001189	69.051738	36.750000	99.970000	
0.100000	0.748494	0.935840	0.028431	73.518798	67.320000	99.130000	
0.100000	0.659889	0.962013	0.004560	76.932699	66.220000	99.870000	
0.100000	0.578436	0.790098	0.001386	79.610433	72.020000	99.980000	
0.100000	0.514170	0.783532	0.001719	82.079620	72.490000	99.960000	
0.100000	0.470517	0.652352	0.021751	83.456026	77.700000	99.370000	
0.100000	0.440730	0.942075	0.000745	84.817832	70.130000	99.980000	
0.100000	0.417114	0.639158	0.000158	85.547744	78.240000	100.000000	
0.100000	0.389849	0.688186	0.000175	86.705175	77.090000	100.000000	
0.100000	0.377047	0.695466	0.009540	87.005482	77.350000	99.700000	
0.100000	0.361256	0.620500	0.007589	87.474711	79.220000	99.820000	
0.100000	0.352989	0.675826	0.001283	87.852179	76.990000	99.970000	
0.100000	0.339876	0.589411	0.000550	88.206708	80.620000	100.000000	
0.100000	0.321058	0.622643	0.001042	88.880312	78.660000	99.980000	
0.100000	0.322184	0.762328	0.000605	88.807321	75.660000	100.000000	
0.100000	0.311231	0.605798	0.026328	89.182704	79.760000	99.110000	
0.100000	0.298946	0.503332	0.011687	89.791659	83.480000	99.620000	
0.100000	0.295385	0.573044	0.008535	89.993949	80.840000	99.740000	
0.100000	0.296533	0.550342	0.005052	89.756206	81.740000	99.900000	
0.100000	0.292319	0.511129	0.000025	89.872992	82.820000	100.000000	
0.100000	0.283053	0.735412	0.067410	90.246290	75.620000	97.570000	
0.100000	0.280108	0.507074	0.000145	90.325537	82.790000	100.000000	
0.100000	0.277944	0.626602	0.000011	90.381845	79.750000	100.000000	
0.100000	0.276323	0.569715	0.004218	90.456921	81.170000	99.870000	
0.100000	0.273656	0.615799	0.037042	90.554938	79.680000	98.720000	
0.100000	0.274264	0.589651	0.000744	90.546596	80.870000	99.990000	
0.100000	0.269215	0.679230	0.005006	90.630015	78.640000	99.870000	
0.100000	0.263700	0.708306	0.007611	90.892783	77.800000	99.740000	
0.100000	0.263090	0.868338	0.020986	90.963689	74.360000	99.290000	
0.100000	0.267099	0.761574	0.001915	90.732202	75.980000	99.950000	
0.100000	0.256870	0.567632	0.001836	91.184747	81.860000	99.970000	
0.100000	0.252918	0.559171	0.000031	91.234799	81.700000	100.000000	
